vintage_quarter,originations,defaults,default_rate_pct,avg_loan_amount,avg_int_rate_pct,rolling_4q_default_rate_pct,qoq_default_rate_delta_pct
2007-04-01,24,3.0,12.5,3827.0,9.81,12.5,
2007-07-01,190,40.0,21.05,6508.0,11.67,16.77,8.55
2007-10-01,389,115.0,29.56,9381.0,12.02,21.04,8.51
2008-01-01,1013,234.0,23.1,9906.0,12.1,21.55,-6.46
2008-04-01,498,110.0,22.09,7476.0,11.93,23.95,-1.01
2008-07-01,298,52.0,17.45,5928.0,12.24,23.05,-4.64
2008-10-01,584,100.0,17.12,9579.0,12.03,19.94,-0.33
2009-01-01,895,123.0,13.74,9214.0,12.78,17.6,-3.38
2009-04-01,1098,158.0,14.39,9212.0,12.24,15.68,0.65
2009-07-01,1364,174.0,12.76,9752.0,12.27,14.5,-1.63
2009-10-01,1924,268.0,13.93,10533.0,12.51,13.71,1.17
2010-01-01,2172,254.0,11.69,10824.0,12.02,13.19,-2.24
2010-04-01,3006,441.0,14.67,10409.0,12.15,13.26,2.98
2010-07-01,3568,537.0,15.05,10171.0,12.64,13.84,0.38
2010-10-01,3791,525.0,13.85,10789.0,11.22,13.82,-1.2
2011-01-01,4126,565.0,13.69,11147.0,11.59,14.32,-0.16
2011-04-01,5102,783.0,15.35,11331.0,12.25,14.49,1.66
2011-07-01,5876,861.0,14.65,11985.0,12.1,14.39,-0.7
2011-10-01,6617,1088.0,16.44,13217.0,12.71,15.03,1.79
2012-01-01,8076,1304.0,16.15,13598.0,12.5,15.65,-0.29
2012-04-01,10447,1779.0,17.03,13149.0,13.24,16.07,0.88
2012-07-01,16133,2654.0,16.45,12856.0,13.83,16.52,-0.58
2012-10-01,18711,2907.0,15.54,14100.0,14.19,16.29,-0.91
2013-01-01,22706,3410.0,15.02,15542.0,14.14,16.01,-0.52
2013-04-01,30668,4985.0,16.25,14550.0,14.85,15.82,1.23
2013-07-01,37571,5847.0,15.56,14339.0,14.63,15.59,-0.69
2013-10-01,43859,6782.0,15.46,14701.0,14.42,15.57,-0.1
2014-01-01,47013,7751.0,16.49,14904.0,14.3,15.94,1.03
2014-04-01,52456,9766.0,18.62,14491.0,13.92,16.53,2.13
2014-07-01,55238,10390.0,18.81,14560.0,13.66,17.35,0.19
2014-10-01,68396,13255.0,19.38,14451.0,13.01,18.33,0.57
2015-01-01,76803,15435.0,20.1,14816.0,12.71,19.23,0.72
2015-04-01,85942,17685.0,20.58,14582.0,12.57,19.72,0.48
2015-07-01,97904,19819.0,20.24,14782.0,12.43,20.08,-0.34
2015-10-01,114897,22865.0,19.9,14449.0,11.99,20.2,-0.34
2016-01-01,111934,22791.0,20.36,14960.0,12.28,20.27,0.46
2016-04-01,62949,15955.0,25.35,14437.0,12.77,21.46,4.99
2016-07-01,60891,15806.0,25.96,14067.0,14.02,22.89,0.61
2016-10-01,57331,13700.0,23.9,13961.0,14.03,23.89,-2.06
2017-01-01,46874,10751.0,22.94,14522.0,13.89,24.54,-0.96
2017-04-01,44492,10591.0,23.8,14148.0,13.9,24.15,0.86
2017-07-01,43854,10498.0,23.94,14029.0,14.24,23.65,0.14
2017-10-01,34101,7329.0,21.49,14549.0,13.57,23.04,-2.45
2018-01-01,22530,4387.0,19.47,15246.0,13.17,22.18,-2.02
2018-04-01,18449,3347.0,18.14,14914.0,13.29,20.76,-1.33
2018-07-01,10309,1018.0,9.87,14493.0,14.0,17.24,-8.27
2018-10-01,5030,122.0,2.43,13923.0,13.94,12.48,-7.44
